"CUSTOMERID","GENDER","SENIORCITIZEN","PARTNER","DEPENDENTS","TENURE","PHONESERVICE","MULTIPLELINES","INTERNETSERVICE","ONLINESECURITY","ONLINEBACKUP","DEVICEPROTECTION","TECHSUPPORT","STREAMINGTV","STREAMINGMOVIES","CONTRACT","PAPERLESSBILLING","PAYMENTMETHOD","MONTHLYCHARGES","TOTALCHARGES"
"8963-JLGJT","Male",0,"No","Yes",3,"Yes","No","DSL","Yes","No","Yes","No","No","No","Month-to-month","No","Mailed check",55.9,157.55
"8930-XOTDP","Female",0,"Yes","Yes",18,"Yes","No","DSL","No","No","No","No","Yes","No","Month-to-month","No","Mailed check",55.95,1082.8
"8109-YUOHE","Male",0,"No","No",17,"Yes","No","DSL","Yes","Yes","No","No","No","No","One year","No","Mailed check",56.1,946.95
"7995-ZHHNZ","Male",0,"Yes","No",42,"Yes","Yes","DSL","Yes","No","No","No","No","No","One year","No","Credit card (automatic)",56.1,2386.85
"8824-RWFXJ","Male",0,"Yes","Yes",3,"Yes","No","DSL","No","Yes","Yes","No","No","No","Month-to-month","Yes","Mailed check",56.15,168.15
"8096-LOIST","Female",0,"No","No",19,"Yes","No","DSL","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",56.2,1093.4
"9522-BNTHX","Female",1,"No","No",34,"No","No phone service","DSL","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",56.25,1765.95
"7508-KBIMB","Male",0,"Yes","Yes",24,"Yes","No","DSL","Yes","No","Yes","No","No","No","One year","Yes","Credit card (automatic)",56.25,1454.25
"7669-LCRSD","Male",0,"Yes","Yes",12,"Yes","No","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Mailed check",56.3,628.65
"9060-HJJRW","Female",0,"No","No",51,"No","No phone service","DSL","No","Yes","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",56.4,2928.5
"8976-OQHGT","Female",0,"Yes","Yes",4,"Yes","No","DSL","No","Yes","No","Yes","No","No","Month-to-month","No","Mailed check",56.5,235.1
"8169-SAEJD","Male",1,"Yes","No",69,"No","No phone service","DSL","Yes","Yes","No","No","Yes","Yes","Two year","No","Credit card (automatic)",56.55,3952.65
"8017-UVSZU","Female",0,"Yes","No",40,"Yes","Yes","DSL","No","Yes","No","No","No","No","Month-to-month","No","Credit card (automatic)",56.6,2379.1
"8450-JOVAH","Male",0,"Yes","Yes",2,"Yes","Yes","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",56.7,113.55
"8224-IVVPA","Female",0,"No","No",27,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",56.7,1652.95
"8388-FYNPZ","Male",0,"No","No",4,"Yes","No","DSL","Yes","No","Yes","No","No","No","Month-to-month","No","Electronic check",56.75,245.15
"8165-CBKXO","Male",0,"Yes","Yes",66,"No","No phone service","DSL","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Credit card (automatic)",56.75,3708.4
"7771-ZONAT","Male",0,"No","No",22,"No","No phone service","DSL","No","No","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",56.75,1304.85
"9853-JFZDU","Female",0,"Yes","No",35,"Yes","No","DSL","No","Yes","No","Yes","No","No","Month-to-month","No","Electronic check",56.85,1861.1
"9842-EFSYY","Female",0,"No","Yes",4,"No","No phone service","DSL","Yes","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Mailed check",57.2,223.75
"7404-JLKQG","Female",0,"No","No",3,"Yes","No","DSL","No","No","Yes","No","Yes","No","Month-to-month","No","Electronic check",57.55,161.45
"9795-SHUHB","Female",0,"Yes","Yes",66,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Two year","Yes","Credit card (automatic)",58.2,3810.8
"9357-UJRUN","Male",0,"Yes","No",24,"Yes","Yes","DSL","Yes","No","No","Yes","No","No","One year","Yes","Electronic check",58.35,1346.9
"9089-UOWJG","Female",0,"Yes","Yes",12,"Yes","No","DSL","No","No","Yes","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",58.35,740.55
"8821-KVZKQ","Female",0,"Yes","Yes",70,"No","No phone service","DSL","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Bank transfer (automatic)",58.4,4113.15
"9633-DENPU","Female",0,"Yes","No",47,"Yes","No","DSL","No","Yes","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",58.6,2723.4
"8680-CGLTP","Male",0,"No","No",29,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","One year","Yes","Electronic check",58.75,1696.2
"9359-JANWS","Female",0,"Yes","No",65,"Yes","No","DSL","Yes","No","Yes","Yes","No","No","Two year","No","Credit card (automatic)",58.9,3857.1
"7869-ZYDST","Male",0,"Yes","No",31,"Yes","Yes","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",59.05,1882.8
"7629-WIXZF","Female",0,"No","No",7,"Yes","No","DSL","Yes","No","No","No","No","Yes","One year","Yes","Electronic check",59.1,369.25
"7228-PAQPD","Female",0,"No","No",14,"Yes","No","DSL","No","No","No","Yes","No","Yes","One year","No","Credit card (automatic)",59.1,772.85
"9780-FKVVF","Male",0,"No","No",6,"Yes","No","DSL","Yes","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",59.15,336.7
"9504-DSHWM","Male",0,"No","No",20,"Yes","Yes","DSL","Yes","No","No","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",59.2,1191.2
"7318-EIVKO","Male",0,"No","No",8,"Yes","Yes","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",59.25,436.6
"7153-CHRBV","Female",0,"Yes","Yes",57,"Yes","No","DSL","Yes","No","Yes","Yes","No","No","One year","Yes","Mailed check",59.3,3274.35
"8679-JOEVF","Female",1,"No","No",16,"Yes","No","DSL","No","No","No","Yes","Yes","No","Month-to-month","No","Electronic check",59.4,1023.9
"8383-SGHJU","Female",0,"No","No",33,"Yes","Yes","DSL","Yes","No","No","Yes","No","No","One year","No","Electronic check",59.4,1952.8
"9474-PHLYD","Female",0,"No","No",15,"Yes","No","DSL","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",59.45,892.65
"8878-RYUKI","Female",0,"No","No",52,"Yes","No","DSL","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",59.45,3043.7
"7596-ZYWBB","Female",0,"No","No",65,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Two year","Yes","Mailed check",59.6,3739.8
"7025-WCBNE","Male",1,"No","No",47,"Yes","Yes","DSL","No","Yes","No","Yes","No","No","Two year","No","Bank transfer (automatic)",59.6,2754
"8734-FNWVH","Male",0,"Yes","Yes",31,"Yes","Yes","DSL","No","No","No","No","No","Yes","Month-to-month","No","Bank transfer (automatic)",59.7,1825.5
"7633-MVPUY","Male",0,"Yes","No",57,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Two year","Yes","Electronic check",59.75,3450.15
"8232-CTLKO","Female",0,"Yes","Yes",66,"Yes","No","DSL","Yes","No","No","No","Yes","No","Two year","Yes","Electronic check",59.75,3996.8
"8624-GIOUT","Female",0,"No","No",49,"Yes","Yes","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",59.75,2934.3
"7306-YDSOI","Male",0,"Yes","Yes",69,"Yes","No","DSL","Yes","Yes","Yes","No","No","No","Two year","Yes","Bank transfer (automatic)",59.75,4069.9
"7921-BEPCI","Female",0,"No","No",72,"Yes","Yes","DSL","Yes","Yes","No","No","No","No","Two year","No","Bank transfer (automatic)",59.75,4265
"7839-NUIAA","Female",0,"Yes","Yes",61,"Yes","Yes","DSL","Yes","Yes","No","No","No","No","Month-to-month","No","Electronic check",59.8,3641.5
"9481-SFCQY","Female",0,"No","Yes",14,"Yes","No","DSL","No","No","Yes","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",59.8,824.85
"8510-TMWYB","Female",0,"Yes","Yes",54,"Yes","Yes","DSL","No","Yes","Yes","No","No","No","Two year","Yes","Bank transfer (automatic)",59.8,3246.45
"7018-FPXHH","Male",0,"Yes","Yes",56,"Yes","No","DSL","Yes","Yes","Yes","No","No","No","Two year","Yes","Bank transfer (automatic)",59.8,3457.45
"8033-ATFAS","Female",0,"Yes","Yes",39,"Yes","No","DSL","No","No","Yes","No","Yes","No","Month-to-month","Yes","Mailed check",59.85,2341.5
"7131-ZQZNK","Female",0,"Yes","Yes",60,"No","No phone service","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",59.85,3590.2
"9127-QRZMH","Male",0,"Yes","No",44,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","One year","Yes","Bank transfer (automatic)",59.85,2603.95
"9372-TXXPS","Female",0,"Yes","No",60,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Two year","No","Bank transfer (automatic)",59.85,3483.45
"8250-ZNGGW","Female",1,"No","No",5,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","No","Credit card (automatic)",59.9,287.85
"8316-BBQAY","Female",0,"No","No",65,"No","No phone service","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",59.95,3921.1
"9069-LGEUL","Male",0,"Yes","No",23,"Yes","No","DSL","Yes","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",59.95,1406
"8399-YNDCH","Male",1,"No","No",21,"Yes","No","DSL","No","No","Yes","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",60.05,1236.15
"9888-ZCUMM","Male",0,"Yes","Yes",64,"No","No phone service","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",60.05,3845.45
"8626-PTQGE","Male",0,"No","No",69,"No","No phone service","DSL","Yes","Yes","No","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",60.05,4176.7
"7876-AEHIG","Female",0,"No","Yes",51,"No","No phone service","DSL","Yes","No","Yes","Yes","Yes","Yes","One year","No","Bank transfer (automatic)",60.15,3077
"8049-WJCLQ","Male",0,"Yes","Yes",10,"Yes","No","DSL","No","No","Yes","No","Yes","No","Month-to-month","No","Mailed check",60.2,563.5
"8847-GEOOQ","Male",0,"Yes","No",60,"No","No phone service","DSL","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",60.2,3582.4
"8220-OCUFY","Female",0,"No","No",21,"Yes","No","DSL","Yes","No","Yes","Yes","No","No","One year","Yes","Electronic check",60.25,1258.35
"7446-YPODE","Male",1,"No","No",11,"Yes","Yes","DSL","Yes","Yes","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",60.25,662.95
"8039-EQPIM","Male",0,"Yes","No",69,"No","No phone service","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",60.25,4055.5
"8181-YHCMF","Female",0,"Yes","Yes",68,"No","No phone service","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",60.3,4109
"9720-JJJOR","Male",0,"Yes","Yes",41,"Yes","No","DSL","Yes","Yes","Yes","No","No","No","One year","Yes","Bank transfer (automatic)",60.3,2511.3
"8201-AAXCB","Male",0,"Yes","Yes",25,"Yes","Yes","DSL","No","No","No","No","Yes","No","Month-to-month","No","Electronic check",60.35,1404.65
"7781-EWARA","Male",0,"Yes","Yes",70,"No","No phone service","DSL","No","Yes","Yes","Yes","Yes","Yes","One year","No","Electronic check",60.35,4138.7
"8869-TORSS","Female",0,"No","No",48,"Yes","No","DSL","Yes","No","Yes","Yes","No","No","One year","Yes","Credit card (automatic)",60.35,2896.4
"7139-JZFVG","Male",0,"Yes","Yes",60,"Yes","No","DSL","Yes","Yes","Yes","No","No","No","Two year","No","Bank transfer (automatic)",60.5,3694.45
"9640-ZSLDC","Female",0,"Yes","Yes",53,"Yes","No","DSL","No","No","Yes","No","No","Yes","One year","No","Credit card (automatic)",60.6,3297
"7750-EYXWZ","Female",0,"No","No",12,"No","No phone service","DSL","No","Yes","Yes","Yes","Yes","Yes","One year","No","Electronic check",60.65,743.3
"7105-MXJLL","Female",1,"Yes","No",26,"Yes","No","DSL","No","No","Yes","No","No","Yes","One year","No","Mailed check",60.7,1597.4
"9955-QOPOY","Male",0,"Yes","No",69,"No","No phone service","DSL","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Credit card (automatic)",60.8,4263.4
"9489-UTFKA","Male",1,"Yes","No",8,"Yes","No","DSL","Yes","No","No","No","Yes","No","Month-to-month","No","Bank transfer (automatic)",60.9,551.95
"7766-CLTIC","Female",0,"No","No",10,"Yes","No","DSL","No","No","No","Yes","No","Yes","Month-to-month","Yes","Mailed check",60.95,629.55
"7722-VJRQD","Male",0,"Yes","Yes",72,"No","No phone service","DSL","Yes","No","Yes","Yes","Yes","Yes","Two year","No","Bank transfer (automatic)",60.95,4549.05
"7670-ZBPOQ","Female",0,"Yes","No",58,"Yes","Yes","DSL","Yes","No","No","Yes","No","No","One year","Yes","Bank transfer (automatic)",61.05,3478.75
"7470-DYNOE","Male",0,"No","No",53,"Yes","No","DSL","No","No","Yes","No","No","Yes","One year","Yes","Electronic check",61.1,3357.9
"9314-QDMDW","Male",0,"No","No",11,"Yes","No","DSL","No","Yes","No","No","Yes","No","One year","Yes","Electronic check",61.25,729.95
"8313-KTIHG","Male",0,"No","No",4,"Yes","No","DSL","No","No","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",61.3,249.4
"8788-DOXSU","Male",0,"No","No",59,"Yes","No","DSL","No","No","Yes","No","No","Yes","One year","Yes","Bank transfer (automatic)",61.35,3645.5
"9220-CXRSC","Female",0,"Yes","Yes",69,"Yes","Yes","DSL","Yes","No","No","Yes","No","No","Two year","No","Credit card (automatic)",61.4,4059.85
"9715-SBVSU","Male",0,"Yes","Yes",14,"Yes","No","DSL","Yes","Yes","No","No","No","Yes","Two year","Yes","Bank transfer (automatic)",61.4,815.55
"9052-DHNKM","Male",0,"No","No",26,"Yes","Yes","DSL","Yes","Yes","No","No","No","No","One year","No","Electronic check",61.55,1581.95
"8992-OBVDG","Male",0,"No","No",21,"Yes","No","DSL","No","No","Yes","No","No","Yes","Month-to-month","No","Mailed check",61.65,1393.6
"9782-LGXMC","Female",0,"Yes","Yes",49,"Yes","No","DSL","Yes","No","Yes","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",61.75,3024.15
"7707-PYBBH","Male",0,"No","No",40,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","Yes","Mailed check",61.9,2647.1
"9798-DRYDS","Female",0,"Yes","Yes",17,"Yes","Yes","DSL","No","No","Yes","Yes","No","No","One year","Yes","Mailed check",61.95,1070.7
"8980-WQFWL","Female",0,"No","No",35,"Yes","No","DSL","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",62.1,2096.1
"7143-BQIBA","Male",0,"No","No",10,"Yes","No","DSL","Yes","No","No","Yes","Yes","No","Month-to-month","No","Bank transfer (automatic)",62.25,612.95
"7931-PXHFC","Male",0,"No","No",38,"Yes","No","DSL","No","No","Yes","Yes","No","Yes","One year","Yes","Mailed check",62.3,2354.8
"8404-VIOMB","Female",0,"No","No",66,"No","No phone service","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",62.5,4136.4
"9670-BPNXF","Female",0,"No","No",45,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","One year","Yes","Credit card (automatic)",62.55,2796.45
"9259-PACGQ","Female",0,"Yes","No",34,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","No","Electronic check",62.65,2274.9
"9786-YWNHU","Female",0,"Yes","Yes",63,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","Mailed check",63.55,4014.2
"7771-CFQRQ","Female",0,"Yes","Yes",47,"Yes","No","DSL","No","Yes","No","Yes","No","Yes","Two year","No","Bank transfer (automatic)",63.8,3007.25
"8548-AWOFC","Male",0,"Yes","No",66,"Yes","Yes","DSL","No","No","No","Yes","No","Yes","Month-to-month","No","Electronic check",63.85,4264.6
"8100-HZZLJ","Female",0,"No","Yes",43,"Yes","No","DSL","Yes","Yes","No","No","No","Yes","Month-to-month","Yes","Electronic check",63.95,2737.05
"8619-IJNDK","Female",0,"Yes","Yes",71,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","Credit card (automatic)",64.05,4492.9
"9362-MWODR","Female",0,"No","Yes",40,"Yes","No","DSL","Yes","No","No","Yes","Yes","No","Month-to-month","Yes","Credit card (automatic)",64.1,2460.35
"9281-CEDRU","Female",0,"Yes","No",68,"Yes","No","DSL","No","Yes","No","Yes","Yes","No","Two year","No","Bank transfer (automatic)",64.1,4326.25
"7905-NJMXS","Male",1,"Yes","No",7,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","No","Electronic check",64.2,475
"7753-USQYQ","Male",0,"No","No",55,"Yes","No","DSL","No","Yes","No","Yes","No","Yes","One year","Yes","Electronic check",64.2,3627.3
"8777-PVYGU","Female",0,"Yes","No",52,"Yes","No","DSL","Yes","No","Yes","No","Yes","No","One year","Yes","Mailed check",64.3,3410.6
"7319-VENRZ","Male",0,"No","No",7,"Yes","No","DSL","No","No","Yes","Yes","Yes","No","Month-to-month","No","Bank transfer (automatic)",64.3,445.95
"7905-TVXTA","Female",0,"No","No",5,"Yes","No","DSL","Yes","No","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",64.35,352.65
"7860-KSUGX","Male",0,"Yes","Yes",72,"Yes","Yes","DSL","Yes","Yes","Yes","No","No","No","Two year","No","Credit card (automatic)",64.45,4720
"7361-YPXFS","Female",1,"No","No",28,"Yes","Yes","DSL","No","Yes","Yes","Yes","No","No","Month-to-month","No","Bank transfer (automatic)",64.45,1867.6
"8845-LWKGE","Female",0,"Yes","Yes",30,"Yes","No","DSL","No","No","Yes","Yes","Yes","No","One year","Yes","Electronic check",64.5,1985.15
"7459-RRWQZ","Female",0,"No","No",15,"Yes","Yes","DSL","Yes","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",64.65,994.55
"7032-LMBHI","Female",0,"No","No",37,"Yes","Yes","DSL","Yes","No","No","No","Yes","No","One year","No","Bank transfer (automatic)",64.65,2347.85
"8773-HHUOZ","Female",0,"No","Yes",17,"Yes","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Mailed check",64.7,1093.1
"8257-RZAHR","Female",0,"Yes","No",14,"Yes","Yes","DSL","Yes","No","No","No","Yes","No","Month-to-month","Yes","Bank transfer (automatic)",64.7,941
"9018-PCIOK","Female",0,"No","No",55,"Yes","No","DSL","No","Yes","Yes","No","No","Yes","Two year","Yes","Mailed check",64.75,3617.1
"7945-HLKEA","Female",0,"No","No",60,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","No","One year","No","Electronic check",64.75,4039.5
"9499-XPZXM","Female",0,"Yes","No",72,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","Two year","No","Bank transfer (automatic)",64.75,4804.75
"8204-YJCLA","Male",1,"Yes","Yes",72,"No","No phone service","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",64.8,4732.35
"7105-BENQF","Male",0,"No","Yes",15,"Yes","No","DSL","Yes","No","Yes","No","No","Yes","One year","No","Mailed check",64.85,950.75
"7351-KYHQH","Female",1,"No","No",7,"Yes","No","DSL","No","Yes","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",64.95,493.65
"8590-YFFQO","Male",0,"Yes","No",70,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","Credit card (automatic)",64.95,4523.25
"8597-CTXVJ","Male",0,"No","Yes",70,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","One year","No","Bank transfer (automatic)",64.95,4551.5
"9242-TKFSV","Male",0,"Yes","Yes",72,"No","No phone service","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",65.1,4754.3
"9578-VRMNM","Female",0,"No","No",16,"Yes","Yes","DSL","No","No","Yes","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",65.2,1043.35
"7781-HVGMK","Female",0,"Yes","Yes",72,"No","No phone service","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",65.2,4784.45
"9443-JUBUO","Male",0,"Yes","Yes",72,"No","No phone service","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",65.25,4478.85
"7184-LRUUR","Female",0,"No","No",22,"Yes","No","DSL","No","Yes","Yes","No","Yes","No","One year","No","Bank transfer (automatic)",65.25,1441.8
"7994-XIRTR","Male",1,"No","No",54,"Yes","No","DSL","No","No","Yes","Yes","No","Yes","One year","No","Bank transfer (automatic)",65.25,3529.95
"7054-DMVAS","Male",0,"No","No",54,"Yes","No","DSL","Yes","Yes","No","No","Yes","No","Two year","Yes","Bank transfer (automatic)",65.3,3512.9
"7541-YLXCL","Male",0,"No","No",36,"Yes","No","DSL","No","Yes","No","Yes","No","Yes","One year","Yes","Mailed check",65.4,2498.4
"9209-NWPGU","Male",0,"No","No",44,"Yes","No","DSL","Yes","No","No","Yes","Yes","No","One year","No","Electronic check",65.4,2774.55
"7683-CBDKJ","Male",0,"Yes","Yes",14,"Yes","No","DSL","Yes","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",65.45,937.6
"8792-AOROI","Female",0,"Yes","No",8,"Yes","No","DSL","Yes","No","No","Yes","No","Yes","Two year","No","Mailed check",65.5,564.35
"9700-ISPUP","Female",0,"Yes","Yes",10,"Yes","No","DSL","No","Yes","No","Yes","No","Yes","Month-to-month","Yes","Electronic check",65.5,616.9
"8404-GFGCZ","Male",0,"Yes","No",4,"Yes","Yes","DSL","No","No","Yes","No","Yes","No","Month-to-month","No","Electronic check",65.6,250.1
"9761-XUJWD","Male",0,"No","No",5,"Yes","No","DSL","No","Yes","No","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",65.6,339.9
"7349-ALMUX","Male",0,"No","No",37,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","Bank transfer (automatic)",65.6,2313.8
"8908-NMQTX","Male",0,"No","No",72,"No","No phone service","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",65.6,4566.5
"9114-AAFQH","Female",0,"Yes","No",48,"Yes","No","DSL","No","Yes","Yes","No","No","Yes","One year","Yes","Electronic check",65.65,3094.65
"9055-MOJJJ","Female",0,"Yes","Yes",64,"Yes","No","DSL","Yes","No","No","Yes","Yes","No","One year","No","Mailed check",65.8,4068
"7113-HIPFI","Male",0,"Yes","Yes",66,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","Mailed check",65.85,4097.05
"7919-ZODZZ","Female",0,"Yes","Yes",10,"Yes","No","DSL","No","Yes","Yes","No","No","Yes","One year","Yes","Mailed check",65.9,660.05
"8623-ULFNQ","Female",1,"No","No",26,"Yes","Yes","DSL","No","No","No","Yes","No","Yes","Month-to-month","Yes","Electronic check",66.05,1652.4
"7797-EJMDP","Female",0,"No","No",8,"Yes","No","DSL","Yes","No","No","Yes","No","Yes","Month-to-month","No","Bank transfer (automatic)",66.05,574.5
"9330-DHBFL","Female",0,"Yes","Yes",23,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","One year","Yes","Mailed check",66.25,1533.8
"7964-YESJC","Female",0,"Yes","No",24,"Yes","Yes","DSL","Yes","Yes","Yes","No","No","No","Month-to-month","No","Mailed check",66.3,1559.45
"7036-ZZKBD","Male",0,"Yes","No",31,"Yes","No","DSL","No","No","Yes","Yes","No","Yes","Month-to-month","Yes","Credit card (automatic)",66.4,2019.8
"9351-LZYGF","Female",0,"Yes","No",42,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","Yes","Credit card (automatic)",66.4,2727.8
"8338-QIUNR","Male",0,"Yes","Yes",72,"Yes","Yes","DSL","Yes","No","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",66.5,4811.6
"7399-QHBJS","Female",0,"Yes","Yes",72,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","Two year","No","Credit card (automatic)",66.75,4760.3
"8160-HOWOX","Female",0,"No","No",7,"Yes","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",66.85,458.1
"9803-FTJCG","Male",0,"Yes","Yes",71,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","One year","Yes","Credit card (automatic)",66.85,4748.7
"8990-YOZLV","Female",0,"No","No",69,"Yes","Yes","DSL","Yes","Yes","No","Yes","No","No","Two year","Yes","Mailed check",66.9,4577.9
"9253-VIFJQ","Male",0,"Yes","No",65,"Yes","Yes","DSL","Yes","Yes","Yes","No","No","No","One year","No","Credit card (automatic)",67.05,4309.55
"9755-JHNMN","Female",0,"No","No",49,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","Bank transfer (automatic)",67.4,3306.85
"9207-ZPANB","Male",0,"No","No",37,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","No","One year","No","Electronic check",67.45,2443.3
"7520-HQWJU","Female",0,"Yes","Yes",66,"Yes","Yes","DSL","Yes","Yes","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",67.45,4508.65
"9871-ELEYA","Female",0,"No","Yes",34,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","No","Two year","No","Credit card (automatic)",67.65,2339.3
"8738-JOKAR","Female",0,"No","No",42,"Yes","No","DSL","Yes","Yes","No","Yes","No","Yes","One year","Yes","Mailed check",67.7,2882.25
"8474-UMLNT","Female",0,"No","No",13,"Yes","No","DSL","Yes","Yes","No","Yes","No","Yes","Month-to-month","No","Bank transfer (automatic)",67.8,842.25
"9993-LHIEB","Male",0,"Yes","Yes",67,"Yes","No","DSL","Yes","No","Yes","Yes","No","Yes","Two year","No","Mailed check",67.85,4627.65
"7112-OPOTK","Male",0,"No","No",33,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",68.25,2171.15
"7799-DSEWS","Male",0,"No","No",18,"Yes","No","DSL","Yes","No","Yes","Yes","Yes","No","Month-to-month","Yes","Electronic check",68.35,1299.8
"7169-YWAMK","Male",0,"Yes","Yes",72,"Yes","No","DSL","Yes","Yes","No","Yes","Yes","No","Two year","No","Bank transfer (automatic)",68.4,4855.35
"7718-RXDGG","Male",0,"Yes","No",15,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",68.6,1108.6
"7855-DIWPO","Female",0,"No","No",21,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",68.65,1493.2
"8039-ACLPL","Female",0,"Yes","Yes",72,"Yes","No","DSL","Yes","Yes","Yes","No","No","Yes","Two year","No","Credit card (automatic)",68.75,4888.2
"9968-FFVVH","Male",0,"No","No",63,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","No","No","One year","No","Bank transfer (automatic)",68.8,4111.35
"9142-KZXOP","Male",0,"No","No",44,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",68.85,2958.95
"8263-OKETD","Female",0,"No","No",20,"Yes","Yes","DSL","No","Yes","No","Yes","No","Yes","Month-to-month","Yes","Credit card (automatic)",68.9,1370.35
"8485-GJCDN","Female",1,"No","No",5,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",69.05,318.5
"8725-JEDFD","Male",0,"No","No",27,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",69.05,1793.25
